"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Non-profit","All establishments","2016","9","147","862","3,564"
"Arkansas","722511","Full-service restaurants","Corporations","All establishments","2016","435","12,568","46,902","197,199"
"Arkansas","722511","Full-service restaurants","Partnerships","All establishments","2016","356","7,028","25,966","110,272"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","385","3,612","11,151","45,136"
"Arkansas","722511","Full-service restaurants","All establishments","All establishments","2016","2,015","39,004","142,237","604,850"
"Arkansas","722511","Full-service restaurants","S-corporations","All establishments","2016","829","15,616","57,191","248,008"
"Arkansas","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","1","20 to 99 employees","D","D"
"Arkansas","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","67","113","501","5,389"
"Arkansas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","131","181","810","8,468"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","3","5","15","144"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","182","315","877","4,988"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","112","142","438","6,796"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","495","756","2,641","25,785"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","347","2,447","7,876","33,210"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","91","647","1,669","6,612"
"Arkansas","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","49","349","1,264","5,379"
"Arkansas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","59","407","1,337","5,717"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","147","1,037","3,563","15,298"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","58","800","2,429","9,653"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","72","929","2,306","9,463"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","230","3,132","11,342","48,549"
"Arkansas","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","98","1,520","4,679","20,358"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","458","6,381","20,756","88,023"
"Arkansas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","81","2,578","9,642","39,725"
"Arkansas","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","137","4,211","12,898","55,126"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","520","15,805","54,600","229,272"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","4","89","427","1,784"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","270","8,122","29,333","123,753"
"Arkansas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","1","20 to 99 employees","D","D"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","27","772","2,135","8,213"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","48","2,821","10,921","46,754"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","45","2,989","11,868","47,145"
"Arkansas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","69","4,696","20,091","80,968"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","176","11,501","47,421","192,159"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","1","20 to 99 employees","D","D"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","13","949","4,164","15,860"
"Arkansas","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","15","1,679","7,469","29,979"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","3","250 to 499 employees","D","D"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","1","100 to 249 employees","D","D"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","19","2,114","8,943","36,401"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Arkansas","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
